358		B		14240		10914
359		I		14400		17947
360		B		14320		10353
361		B		14360		10737
362		P		14520		15118
363		B		14440		7964
364		B		14480		9622
365		P		14640		17480
366		B		14560		12708
367		B		14600		10568
368		P		14760		18015
369		B		14680		11345
370		B		14720		11810
371		I		14880		17983
372		B		14800		12562
373		B		14840		13803
374		P		15000		19025
375		B		14920		12833
376		B		14960		11337
377		P		15120		19136
378		B		15040		14035
379		B		15080		14059
380		P		15240		18747
381		B		15160		12720
382		B		15200		14047
383		I		15360		17840
384		B		15280		11579
385		B		15320		12472
386		P		15480		17850
387		B		15400		13430
388		B		15440		13241
389		P		15600		18445
390		B		15520		14069
391		B		15560		13928
392		P		15720		18031
393		B		15640		14042
394		B		15680		13747
395		I		15840		17898
396		B		15760		13814
397		B		15800		14392
398		P		15960		18888
399		B		15880		15511
400		B		15920		14079
401		P		16080		17476
402		B		16000		16154
403		B		16040		14317
404		P		16200		17968
405		B		16120		15410
406		B		16160		15719
407		I		16320		17344
408		B		16240		16392
409		B		16280		16495
410		P		16440		16951
411		B		16360		17013
412		B		16400		15236
413		P		16560		19039
414		B		16480		16454
415		B		16520		12949
416		P		16680		18455
417		B		16600		12983
418		B		16640		14215
419		I		16800		17631
420		B		16720		14255
421		B		16760		16241
422		P		16920		16852
423		B		16840		16452
424		B		16880		15318
425		P		17040		17155
426		B		16960		15896
427		B		17000		15753
428		P		17160		14796
429		B		17080		14747
430		B		17120		16775
431		I		17280		17254
432		B		17200		15668
433		B		17240		16419
434		P		17400		14534
435		B		17320		16099
436		B		17360		16940
437		P		17520		16171
438		B		17440		16006
439		B		17480		15263
440		P		17640		17583
441		B		17560		14758
442		B		17600		15179
443		I		17760		17125
444		B		17680		16109
445		B		17720		17070
446		P		17880		15855
447		B		17800		16489
448		B		17840		16006
449		P		18000		16084
450		B		17920		16091
451		B		17960		14743
452		P		18120		17476
453		B		18040		15236
454		B		18080		14529
455		I		18240		16890
456		B		18160		14698
457		B		18200		14946
458		P		18360		15144
459		B		18280		16011
460		B		18320		14850
461		P		18480		15226
462		B		18400		16436
463		B		18440		13795
464		P		18600		15369
465		B		18520		14214
466		B		18560		16267
467		I		18720		16824
468		B		18640		15039
469		B		18680		15513
470		P		18840		15778
471		B		18760		15058
472		B		18800		15206
473		P		18960		15602
474		B		18880		15027
475		B		18920		15441
476		P		19080		15040
477		B		19000		14306
478		B		19040		15337
479		I		19200		16319
480		B		19120		14464
481		B		19160		14670
482		P		19320		16634
483		B		19240		13950
484		B		19280		14766
485		P		19440		15850
486		B		19360		14600
487		B		19400		13281
488		P		19560		16775
489		B		19480		13664
490		B		19520		13676
491		I		19680		16595
492		B		19600		13672
493		B		19640		15099
494		P		19800		15081
495		B		19720		15887
496		B		19760		14701
497		P		19920		15001
498		B		19840		15432
499		B		19880		13492
500		P		20040		17044
501		B		19960		12691
502		B		20000		12687
503		I		20160		16723
504		B		20080		13788
505		B		20120		13905
506		P		20280		16619
507		B		20200		14381
508		B		20240		13322
509		P		20400		16639
510		B		20320		15689
511		B		20360		13397
512		P		20520		14448
513		B		20440		14336
514		B		20480		14847
515		I		20640		16261
516		B		20560		14160
517		B		20600		14747
518		P		20760		14086
519		B		20680		15741
520		B		20720		13897
521		P		20880		13343
522		B		20800		15304
523		B		20840		14991
524		P		21000		15420
525		B		20920		13651
526		B		20960		14870
527		I		21120		16321
528		B		21040		13604
529		B		21080		14226
530		P		21240		14246
531		B		21160		14555
532		B		21200		14490
533		P		21360		14062
534		B		21280		14181
535		B		21320		14579
536		P		21480		13388
537		B		21400		14261
538		B		21440		13644
539		I		21600		15939
540		B		21520		12418
541		B		21560		14530
542		P		21720		14493
543		B		21640		14323
544		B		21680		13817
545		P		21840		13398
546		B		21760		13227
547		B		21800		13253
548		P		21960		14778
549		B		21880		12583
550		B		21920		12861
551		I		22080		15403
552		B		22000		13300
553		B		22040		14068
554		P		22200		14855
555		B		22120		12631
556		B		22160		12492
557		P		22320		14223
