400		B		15920		9698
401		P		16080		11023
402		B		16000		9932
403		B		16040		10031
404		P		16200		11055
405		B		16120		8727
406		B		16160		8893
407		I		16320		12710
408		B		16240		9865
409		B		16280		9974
410		P		16440		11321
411		B		16360		8420
412		B		16400		8056
413		P		16560		11323
414		B		16480		9542
415		B		16520		9763
416		P		16680		11776
417		B		16600		9982
418		B		16640		9519
419		I		16800		12392
420		B		16720		9170
421		B		16760		9512
422		P		16920		11238
423		B		16840		9990
424		B		16880		9861
425		P		17040		10828
426		B		16960		9412
427		B		17000		9178
428		P		17160		10435
429		B		17080		9869
430		B		17120		9563
431		I		17280		9924
432		B		17200		8858
433		B		17240		8604
434		P		17400		9363
435		B		17320		9186
436		B		17360		9351
437		P		17520		10403
438		B		17440		8429
439		B		17480		8916
440		P		17640		9230
441		B		17560		8192
442		B		17600		8089
443		I		17760		8722
444		B		17680		7006
445		B		17720		6762
446		P		17880		6520
447		B		17800		7089
448		B		17840		6575
449		P		18000		6329
450		B		17920		5777
451		B		17960		5461
452		P		18120		6424
453		B		18040		5667
454		B		18080		5894
455		I		18240		7714
456		B		18160		6066
457		B		18200		6189
458		P		18360		6242
459		B		18280		5626
460		B		18320		5348
461		P		18480		7181
462		B		18400		5487
463		B		18440		5427
464		P		18600		8763
465		B		18520		6084
466		B		18560		6671
467		I		18720		9733
468		B		18640		7854
469		B		18680		8172
470		P		18840		10037
471		B		18760		7245
472		B		18800		8540
473		P		18960		9770
474		B		18880		9007
475		B		18920		9400
476		P		19080		10504
477		B		19000		9953
478		B		19040		8722
479		I		19200		10556
480		B		19120		8339
481		B		19160		8491
482		P		19320		8686
483		B		19240		7781
484		B		19280		7619
485		P		19440		8069
486		B		19360		8129
487		B		19400		8053
488		P		19560		7203
489		B		19480		6741
490		B		19520		6622
491		I		19680		8864
492		B		19600		6308
493		B		19640		6360
494		P		19800		6955
495		B		19720		7146
496		B		19760		6742
497		P		19920		8060
498		B		19840		6311
499		B		19880		6516
500		P		20040		7736
501		B		19960		6233
502		B		20000		6732
503		I		20160		9914
504		B		20080		7293
505		B		20120		7186
506		P		20280		8301
507		B		20200		7348
508		B		20240		7704
509		P		20400		8136
510		B		20320		6929
511		B		20360		7113
512		P		20520		8556
513		B		20440		7325
514		B		20480		7167
515		I		20640		9453
516		B		20560		7770
517		B		20600		7389
518		P		20760		7381
519		B		20680		6601
520		B		20720		6218
521		P		20880		8334
522		B		20800		6737
523		B		20840		6882
524		P		21000		9319
525		B		20920		6406
